Author_id,Name
1,Mark P. O. Morford
2,Robert J. Lenardon
3,Richard Bruce Wright
4,Carlo D'Este
5,Gina Kolata
6,Elizabeth Wayland Barber
7,E. J. W. Barber
8,Amy Tan
9,Robert Cowley
10,Scott Turow
11,Stacy Keach
12,David Cordingly
13,Ann Beattie
14,David Adams Richards
15,Kensington
16,Sheila Heti
17,J. R. Kaiser
18,Jack Canfield
19,Mark Victor Hansen
20,Jennifer Read Haw
21,Loren D. Estleman
22,John Kenneth
23,Robert Hendrickson
24,Julia Oliver
25,John Grisham
26,Toni Morrison
27,The Onion
28,Scott Dikkers
29,Mike Loew
30,Celia Brooks Brown
31,Jane Noraika
32,Philip Webb
33,J. R. Parrish
34,Mary-Kate &Amp; Ashley Olsen
35,Robynn Clairday
36,Kathleen Duey
37,Karen A. Bale
38,Bill Dodge
39,Rich Shapero
40,Michael Crichton
41,C.S. Lewis
42,Arthur Phillips
43,Stephen Jaramillo
44,Mordecai Richler
45,Michael Panofsky
46,Anette Grube
47,Eleanor Cooney
48,Daniel Altieri
49,Charlotte Link
50,Richard North Patterson
51,Kristian Lutze
52,Mark Salzman
53,Harper Lee
54,Laura Hillenbrand
55,Barbara Kingsolver
56,Jo Dereske
57,Jane Austen
58,Dolores Krieger
59,Anne Rivers Siddons
60,Dean Koontz
61,Mary Higgins Clark
62,Patricia Cornwell
63,J.D. Robb
64,Maeve Binchy
65,Laura J. Mixon
66,Tim Lahaye
67,Jerry B. Jenkins
68,Bernie S. Siegel M.D.
69,Robert Penn Warren
70,Hans Johannes Hoefer
71,Mark Helprin
72,O. Carl Simonton M.D.
73,James Creighton Ph.D.
74,Stepha
75,Chuck Hill
76,David Iglehart
77,Larry Mcmurtry
78,Suzanne Fisher Staples
79,Michel Tournier
80,Carl Sagan
81,Aleksandr Zinoviev
82,Anne Tyler
83,Joseph Conrad
84,Deepak Chopra
85,Martin Greenberg
86,Thomas Hardy
87,Charles Noland
88,Sherri Baker
89,Valerie Frankel
90,Benjamin Hoff
91,Niccolo Machiavelli
92,H. Jackson Brown Jr.
93,Robert A. Heinlein
94,Philip Pullman
95,Michael Ondaatje
96,Sandra Levy Ceren
97,P. J. O'Rourke
98,Mike Gayle
99,Stel Pavlou
100,Sarah Payne Stuart
101,Dan Quayle
102,Donald F. Kettl
103,Donald Kettl
104,David Frum
105,Louis L'Amour
106,J.D. Salinger
107,John Berendt
108,Jennifer Crusie
109,Jane Heller
110,Michael Rips
111,Simon Mawer
112,William Abrahams
113,Robert T. Kiyosaki
114,Sharon L. Lechter
115,Ken Follett
116,John F. Love
117,Robert G. Allen
118,Louis De Bernieres
119,Pam Proctor
120,Allen M. Schoen
121,Mitch Albom
122,Michael Jan Friedman
123,Ronald D. Moore
124,Glendon Swarthout
125,Neal Barrett Jr.
126,J. Michael Straczynski
127,David Morrell
128,Sandra Brown
129,James Patterson
130,Peter De Jonge
131,Stuart Woods
132,Iris Johansen
133,Dan Brown
134,Joe Hutsko
135,Anita Shreve
136,Ann Rule
137,Lewis Grizzard
138,Paul Theroux
139,Charles Hickey
140,Todd Lighty
141,John O'Brien
142,Stephen King
143,Ben Mezrich
144,Bill Hand
145,Tom Clancy
146,Dana Reeve
147,Roy
148,Barbara Metzger
149,Gabriel Garcia Marquez
150,Rebecca Wells
151,Tony Hillerman
152,Robert James Waller
153,Rachel Harris
154,Ian Mcewan
155,Michael Lewis
156,Richard Zimler
157,Norman Jetmundsen
158,Lorenzo Carcaterra
159,Anne Frasier
160,Kay Hooper
161,Daphne Du Maurier
162,Nathaniel Hawthorne
163,Leo Marx
164,Nick Page
165,Laura Wolf
166,Lois Duncan
167,Susan Grant
168,Barbara Vine
169,Shirley Rousseau Murphy
170,Jane Lindskold
171,Betty Smith
172,Cybill Shepherd
173,Aimee Lee Ball
174,Stewart O'Nan
175,David Baldacci
176,Douglas Adams
177,Mary Lawson
178,Willa Cather
179,Olivia Goldsmith
180,Helen Fielding
181,Dover Thrift Editions
182,Franklin W. Dixon
183,Lilian Jackson Braun
184,Holly Virden
185,Michelle Mckinney Hammond
186,H. Norman Wright
187,Piers Anthony
188,Ray Bradbury
189,Friedrich Schiller
190,Walter Schafarschik
191,Peter Naujack
192,Raymond Chandler
193,Hans Wollschläger
194,Thomas Schlück
195,Norbert Wölfl
196,Alexander Schmitz
197,Jürgen Bauer
198,Alastair Ker
199,Paulo Coelho
200,Maralde Meyer-Minnemann
201,Gabriel García Márquez
202,Fay Weldon
203,Arabella Weir
204,Kiana Davenport
205,Margarete Längsfeld
206,Sue Townsend
207,Renan Demirkan
208,Michael Moore
209,Helmut Dierlamm
210,Heike Schlatterer
211,Jonathan Franzen
212,Bettina Abarbanell
213,J. D. Salinger
214,Annemarie Böll
215,Heinrich Böll
216,Elisab
217,James Joyce
218,Joanna Trollope
219,Antoinette Gittinger
220,Milan Kundera
221,Arundhati Roy
222,Robert S. Levinson
223,Lorna Landvik
224,Arthur Golden
225,Kent Haruf
226,Patricia D Cornwell
227,Patricia D. Cornwell
228,Carol J. Farley
229,Tom Newsom
230,Kathleen E. Woodiwiss
231,Belva Plain
232,Mark Haddon
233,Ann Brashares
234,Erich Segal
235,Elizabeth Adler
236,Nicholas Sparks
237,John Saul
238,Steve Thayer
239,Tracy Chevalier
240,Judith Kelman
241,Michael Palmer
242,Francine Hughes
243,Norman Bridwell
244,Frank Mccourt
245,Malachy Mccourt
246,Mari Sandoz
247,Anne Perry
248,Alexander Mccall Smith
249,Barbara Bergman
250,Gregory Maguire
251,Yann Martel
252,Ruth Rendell
253,Al Franken
254,Donna Tartt
255,John Milne
256,Terry Pratchett
257,E. B. White
258,Garth Williams
259,J. M. Barrie
260,Mary O'Hara
261,Paul Kidby
262,Louise Rennison
263,Kenneth Grahame
264,Bernard Cornwell
265,Charles De Lint
266,Lord Dunsany
267,Neil Gaiman
268,Georgette Heyer
269,Oscar Wilde
270,Jeffrey Eugenides
271,Ted Hughes
272,Andrew Davidson
273,Roald Dahl
274,Quentin Blake
275,Donna Jo Napoli
276,A.S. Byatt
277,Tanuja Desai Hidier
278,Sophie Kinsella
279,Isabel Wolff
280,Louisa May Alcott
281,Margaret Drabble
282,George Orwell
283,Charles Dickens
284,Isabel Allende
285,Ellen Datlow
286,Terri Windling
287,Charles Vess
288,Neil Gaim
289,Joseph Heller
290,John Galsworthy
291,Enid Blyton
292,Alan Moore
293,Kevin O'Neill
294,Ben Dimagmaliw
295,Sam Kieth
296,Mike Dringenberg
297,Malcolm Jon
298,John Bolton
299,Trudy Suggs
300,Tom Wolfe
301,Brady Udall
302,Homer Hickam
303,Pearl Abraham
304,Sebastian Junger
305,Karen Armstrong
306,Mary Barnard
307,Dudley Fitts
308,David Brin
309,T. C. Boyle
310,T. Coraghessan Boyle
311,Plato
312,Alexander Nehamas
313,Paul Woodruff
314,Lynda Madaras
315,Dane Saavedra
316,Jackie Aher
317,Stephen Mccauley
318,Isabelle Holland
319,Pam Conrad
320,Lurlene Mcdaniel
321,Brian Kaufman
322,John Darnton
323,Martin Schenk
324,David Eddings
325,Leigh Eddings
326,Paul Reiser
327,David G. Hartwell
328,Kathryn Cramer
329,Dave Barry
330,John R. Holt
331,Theodore Beale
332,Frank M. Robinson
333,Mary Jane Clark
334,Mary Shelley
335,Robert Westall
336,Robert B. Parker
337,Rita Chapman Works
338,Mark Carwardine
339,A. Manette Ansay
340,Sarah Waters
341,Anne Frank
342,Barry Lopez
343,Greg Palast
344,Andrea Kane
345,Nevada Barr
346,Margaret Maron
347,Edna Barker
348,Shelagh Rogers
349,Muriel Whitaker
350,John Irving
351,William Golding
352,Hermann Stiehl
353,Harperreference
354,Ltd
355,Ann Patchett
356,Lane Smith
357,Sue Monk; Sue Monk Kidd Kidd
358,Roseanne J. Serra (Co
359,Bob Thiele
360,Bob Golden
361,Steve Allen
362,Colleen Mccullough
363,Joanne Harris
364,Thomas Cahill
365,Michael Hudson
366,Jane Smiley
367,Dick Francis
368,Nora Roberts
369,Jean Marzollo
370,Walter Wick
371,Carol Devine Carson
